,precision,recall,f1-score,support
guloader,1.0,0.3333333333333333,0.5,3.0
kongtuke1,0.7096774193548387,0.6567164179104478,0.6821705426356589,67.0
kongtuke2,0.5185185185185185,0.45161290322580644,0.4827586206896552,31.0
njrat,0.9863013698630136,0.9664429530201343,0.976271186440678,149.0
phantomstealer,0.0,0.0,0.0,2.0
remcos,0.7083333333333334,0.6415094339622641,0.6732673267326733,53.0
scanning,0.9784172661870504,0.9066666666666666,0.9411764705882353,300.0
xloader,0.84,0.980544747081712,0.9048473967684022,257.0
xworm,0.0,0.0,0.0,2.0
accuracy,0.8807870370370371,0.8807870370370371,0.8807870370370371,0.8807870370370371
macro avg,0.6379164341396394,0.5485362728000405,0.5733879493172558,864.0
weighted avg,0.8802409858833555,0.8807870370370371,0.877566250972698,864.0
