scenario,AE_mean_error,AE_median_error,AE_max_error,AE_detected,AE_total,Autoencoder DR (%)
normal (FPR),3.597853899002075,0.0003850372158922255,403280.96875,18812,377139,4.99
guloader,6.7489423751831055,2.2677154541015625,17.673707962036133,10,10,100.0
scanning,520.860107421875,601.6807861328125,6548.3212890625,136249,144356,94.38
njrat,394.2979736328125,403.4853515625,404.64752197265625,497,497,100.0
kongtuke1,1816.0733642578125,0.6985253095626831,400956.875,154,222,69.37
kongtuke2,23.752193450927734,0.3546852469444275,1539.43798828125,72,104,69.23
remcos,574.3716430664062,10.90374755859375,10342.0361328125,159,175,90.86
xloader,24.64052963256836,0.6272233128547668,6451.37353515625,710,855,83.04
xworm,14.754620552062988,7.626499176025391,53.939369201660156,4,6,66.67
phantomstealer,9.667438507080078,8.840777397155762,19.47932243347168,8,8,100.0
