scenario,AE_detected,AE_total,Autoencoder DR (%),IF_detected,IF_total,Isolation Forest DR (%),LSTM_detected,LSTM_total_windows,LSTM AE DR (%),AE - IF (pkt proc.),AE - LSTM (pkt proc.),LSTM - IF (pkt proc.)
normal (FPR),18812,377139,4.99,18856,377139,5.0,18857,377135,5.0,-0.01,-0.01,0.0
guloader,10,10,100.0,10,10,100.0,6,6,100.0,0.0,0.0,0.0
scanning,136249,144356,94.38,134504,144356,93.18,141293,144352,97.88,1.2,-3.5,4.7
njrat,497,497,100.0,12,497,2.41,493,493,100.0,97.59,0.0,97.59
kongtuke1,154,222,69.37,174,222,78.38,177,218,81.19,-9.01,-11.82,2.81
kongtuke2,72,104,69.23,85,104,81.73,74,100,74.0,-12.5,-4.77,-7.73
remcos,159,175,90.86,139,175,79.43,150,171,87.72,11.43,3.14,8.29
xloader,710,855,83.04,767,855,89.71,800,851,94.01,-6.67,-10.97,4.3
xworm,4,6,66.67,4,6,66.67,2,2,100.0,0.0,-33.33,33.33
phantomstealer,8,8,100.0,8,8,100.0,4,4,100.0,0.0,0.0,0.0
