scenario,IF_mean_score,IF_median_score,IF_max_score,IF_detected,IF_total,Isolation Forest DR (%)
normal (FPR),0.36827325412684875,0.3158036968284524,0.8347165088546409,18856,377139,5.0
guloader,0.6987619749444368,0.7036993470689503,0.7966294672756804,10,10,100.0
scanning,0.660389174547167,0.6604274807882219,0.808055375117868,134504,144356,93.18
njrat,0.6101409414379632,0.6066557953137924,0.8109034451514922,12,497,2.41
kongtuke1,0.6980181711598297,0.7042715264077981,0.8170714991592618,174,222,78.38
kongtuke2,0.6775334280729096,0.664471729940942,0.8213776554179631,85,104,81.73
remcos,0.7021885908208533,0.7078594053575712,0.8120053167224393,139,175,79.43
xloader,0.7215016050625831,0.7434540644941043,0.8213776554179631,767,855,89.71
xworm,0.680664537484235,0.6996358343463875,0.8062951353803247,4,6,66.67
phantomstealer,0.7286207252267632,0.736727692113186,0.7918347335185559,8,8,100.0
